ImageNumber,ObjectNumber,Children_Cells_Count,Children_filteredNuclei_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_mitoticRNA
1,36,1,1,408.4173764906303,222.45315161839864,0,36,0
1,37,1,1,809.7830940988836,226.62998405103667,0,37,0
1,38,1,0,492.4080717488789,240.96412556053812,0,38,5
1,39,0,1,17.082910321489003,243.96277495769883,0,39,0
1,40,1,1,920.3167115902964,242.73584905660377,0,40,0
1,41,1,1,516.7152658662093,253.54716981132074,0,41,0
1,42,1,1,433.9574829931973,259.99149659863946,0,42,0
1,43,1,1,602.0754716981132,258.5660377358491,0,43,0
1,44,1,1,198.3992537313433,260.8526119402985,0,44,0
1,45,1,1,310.9060240963855,273.8963855421687,0,45,0
1,46,1,1,741.4908637873754,272.3612956810631,0,46,0
1,47,1,1,851.4963820549928,277.01302460202606,0,47,0
1,48,1,1,600.445744680851,281.54787234042556,0,48,0
1,49,1,1,626.7402376910017,314.6502546689304,0,49,0
1,50,1,1,420.2963604852686,320.27036395147314,0,50,0
1,51,1,1,176.963249516441,334.2707930367505,0,51,0
1,52,1,1,327.6113360323887,333.22469635627533,0,52,0
1,53,1,1,750.9632,350.1728,0,53,0
1,54,1,1,498.35412026726056,368.55233853006683,0,54,0
1,55,1,1,676.2620689655172,382.5241379310345,0,55,0
1,56,1,1,608.2657657657658,391.85885885885887,0,56,0
1,57,1,1,702.5994962216624,407.7821158690176,0,57,0
1,58,1,1,287.34067357512953,412.05051813471505,0,58,0
1,59,1,1,931.3174846625767,411.96165644171776,0,59,0
1,60,1,1,909.8352941176471,419.9088235294118,0,60,0
1,61,1,1,409.3485714285714,434.02285714285716,0,61,0
1,62,1,1,833.137030995106,439.66721044045676,0,62,0
1,63,1,1,559.2227488151659,447.8872037914692,0,63,0
1,64,1,1,200.58093525179856,451.5575539568345,0,64,0
1,65,1,1,293.85169927909374,456.16374871266737,0,65,0
1,66,1,1,533.204,459.42133333333334,0,66,0
1,67,1,1,93.19551934826885,466.867617107943,0,67,0
1,68,1,1,913.3969465648855,474.55648854961834,0,68,0
1,69,1,1,887.3033898305084,474.41016949152544,0,69,0
1,70,1,1,633.7596302003082,503.8043143297381,0,70,0
1,71,0,1,15.871287128712872,502.3712871287129,0,71,0
1,72,1,1,738.141124586549,509.8654906284454,0,72,0
1,73,1,1,394.7139479905437,513.0141843971631,0,73,0
1,74,1,1,496.8563535911602,538.0810313075507,0,74,0
1,75,1,1,952.914739884393,543.9075144508671,0,75,0
1,76,1,1,422.508356545961,552.1225626740948,0,76,0
1,77,1,1,850.6257062146892,557.632768361582,0,77,0
1,78,1,1,916.7569331158238,563.2512234910278,0,78,0
1,79,1,1,804.4718181818182,583.1063636363637,0,79,0
1,80,1,1,111.91375968992249,590.8575581395348,0,80,0
1,81,1,0,674.7527322404371,593.4016393442623,0,81,7
1,82,1,1,977.6522522522522,601.3567567567568,0,82,0
1,83,1,1,76.59384941675503,626.2449628844115,0,83,0
1,84,1,0,669.8480662983426,637.6031307550645,0,84,10
1,85,1,1,210.63754889178617,643.7398956975228,0,85,0
1,86,1,1,403.74558303886926,641.696113074205,0,86,0
1,87,1,1,754.3698781838317,655.499446290144,0,87,0
1,88,0,1,56.093657379964434,663.7759336099585,0,88,0
1,89,1,1,873.5179564997471,705.9160343955488,0,89,0
1,90,1,1,624.4115755627009,708.9790996784566,0,90,0
1,91,1,1,798.8971354166666,711.32421875,0,91,0
1,92,1,1,719.5715835140998,733.4186550976139,0,92,0
1,93,1,1,917.3312655086849,750.1104218362283,0,93,0
1,94,1,1,282.27014925373135,756.0164179104478,0,94,0
1,95,1,1,549.4903581267217,771.1267217630854,0,95,0
1,96,1,1,760.4315789473684,770.0497607655502,0,96,0
1,97,1,1,439.88416988416986,780.4929214929215,0,97,0
1,98,1,1,701.2671328671329,781.1244755244755,0,98,0
1,99,0,1,34.82387096774193,796.6961290322581,0,99,0
1,100,1,1,536.0599326599327,806.1993265993266,0,100,0
1,101,1,1,405.96817625459,821.4638922888616,0,101,0
1,102,1,1,97.07775377969763,829.0107991360691,0,102,0
1,103,1,1,249.446735395189,826.2646048109966,0,103,0
1,104,1,1,224.48939393939395,826.6848484848484,0,104,0
1,105,1,1,346.1144343302991,824.1144343302991,0,105,0
1,106,1,1,691.5921680993314,855.821394460363,0,106,0
1,107,1,1,582.8964218455744,855.1092278719398,0,107,0
1,108,1,1,454.95547309833023,874.1410018552875,0,108,0
1,109,1,0,539.743922204214,885.9400324149109,0,109,12
1,110,1,1,223.59030837004406,881.0693832599119,0,110,0
1,111,1,1,910.550139275766,886.6183844011142,0,111,0
1,112,1,1,861.4417475728155,892.9429611650486,0,112,0
1,113,1,1,365.98335183129853,904.1231964483907,0,113,0
1,114,1,1,736.3661538461538,917.6615384615385,0,114,0
1,115,1,1,863.8751229105211,919.6470009832842,0,115,0
1,116,1,1,345.0900621118012,933.4580745341615,0,116,0
1,117,0,1,27.849028400597906,937.2481315396113,0,117,0
1,118,1,1,570.7888730385164,942.69757489301,0,118,0
1,119,1,1,267.98943661971833,944.4424882629108,0,119,0
1,120,1,1,474.22050059594756,945.6483909415971,0,120,0
1,121,1,1,423.9839883551674,950.7583697234352,0,121,0
1,122,0,1,278.0633445945946,970.1351351351351,0,122,0
1,123,0,1,628.4214876033058,980.1511216056671,0,123,0
1,124,0,1,166.1846921797005,1000.3560732113144,0,124,0
1,125,0,1,809.4785553047404,1001.1647855530474,0,125,0
1,126,0,1,328.78746177370033,1004.9877675840978,0,126,0
